Product_ID,Product_Name,Category,Subcategory,Estimated_Total_Units_Sold_in_2025,Estimated_Revenue_in_2025_USD,Price_Range_USD,Trend_Score,Trend_Source,Notes,Min_Price,Max_Price,Price_Midpoint,Revenue_Per_Unit,Trend_Category
PROD-2025-0001,Loaded Tea At-Home Beverage Pack,Food & Beverage,Beverages,1651289,4953867,$3.0-$4,99.6,TikTok Shop Viral,Verified top seller in 2025 ecommerce reports.,3,4,3.5,3,"""High Trend"""
PROD-2025-0002,Protein Coffee On-The-Go Energy Drink,Food & Beverage,Beverages,1466551,4399653,$3.0-$4,96.9,TikTok Shop Viral,Verified top seller in 2025 ecommerce reports.,3,4,3.5,3,"""High Trend"""
PROD-2025-0003,Whitening Strips 7-Day Treatment,Beauty & Skincare,Personal Care,953072,10483792,$11.0-$16,95.7,TikTok Shop Viral,Verified top seller in 2025 ecommerce reports.,11,16,13.5,11,"""High Trend"""
PROD-2025-0004,5-1 Full Body Shaver,Beauty & Skincare,Personal Care Gadgets,509346,22920570,$45.0-$68,97.5,Shopify Trending List,Verified top seller in 2025 ecommerce reports.,45,68,56.5,45,"""High Trend"""
PROD-2025-0005,Newborn Training Pants Baby Shorts,Baby,Organic Baby Clothing,835510,12532650,$15.0-$22,95.2,Shopify Trending List,Verified top seller in 2025 ecommerce reports.,15,22,18.5,15,"""High Trend"""
PROD-2025-0006,Vintage Crochet Set,Fashion,Womenswear,194058,6792030,$35.0-$52,95.9,Shopify Trending List,Verified top seller in 2025 ecommerce reports.,35,52,43.5,35,"""High Trend"""
PROD-2025-0007,Kids Sonic Clean Auto-Toothbrush,Baby,Baby Safety Gear,251080,6277000,$25.0-$38,95.6,Shopify Trending List,Verified top seller in 2025 ecommerce reports.,25,38,31.5,25,"""High Trend"""
PROD-2025-0008,Automated Toilet Bowl Cleaner,Home & Garden,Eco-friendly Cleaning,341482,4097784,$12.0-$18,95.5,Shopify Trending List,Verified top seller in 2025 ecommerce reports.,12,18,15,12,"""High Trend"""
PROD-2025-0009,Quick Release Belt,Fashion,Accessories,554123,11082460,$20.0-$30,97.4,Shopify Trending List,Verified top seller in 2025 ecommerce reports.,20,30,25,20,"""High Trend"""
PROD-2025-0010,Healing Tool Tuning Fork Set,Fitness,Recovery Tools,129966,7148130,$55.0-$82,98.3,Shopify Trending List,Verified top seller in 2025 ecommerce reports.,55,82,68.5,55,"""High Trend"""
PROD-2025-0011,Rotator Burn Machine,Fitness,Home Gym Equipment,554994,47174490,$85.0-$128,96.7,Shopify Trending List,Verified top seller in 2025 ecommerce reports.,85,128,106.5,85,"""High Trend"""
PROD-2025-0012,Electric Cordless Rotary Tool Kit,Home & Garden,Kitchen Gadgets,157359,6294360,$40.0-$60,97.4,Shopify Trending List,Verified top seller in 2025 ecommerce reports.,40,60,50,40,"""High Trend"""
PROD-2025-0013,Portable Air Cooling Fan,Electronics,Portable Audio,451274,13538220,$30.0-$45,95.3,Shopify Trending List,Verified top seller in 2025 ecommerce reports.,30,45,37.5,30,"""High Trend"""
